
start_time	end_time	hr	hr_max	hr_min	steps	calories
2/20 4:45	2/20 4:50	None	None	None	None	6.08333
2/20 4:50	2/20 4:55	None	None	None	None	6.08333
2/20 4:55	2/20 5:0	None	None	None	None	6.08333
2/20 5:0	2/20 5:5	None	None	None	None	6.08333
2/20 5:5	2/20 5:10	None	None	None	None	6.08333
2/20 5:10	2/20 5:15	None	None	None	None	6.08333
2/20 5:15	2/20 5:20	None	None	None	None	6.08333
2/20 5:20	2/20 5:25	None	None	None	None	6.08333
2/20 5:25	2/20 5:30	None	None	None	None	6.08333
2/20 5:30	2/20 5:35	None	None	None	None	6.08333
2/20 5:35	2/20 5:40	None	None	None	None	6.08333
2/20 5:40	2/20 5:45	None	None	None	None	6.08333
2/20 5:45	2/20 5:50	None	None	None	None	6.08333
2/20 5:50	2/20 5:55	None	None	None	None	6.08333
2/20 5:55	2/20 6:0	None	None	None	None	6.08333
2/20 6:0	2/20 6:5	None	None	None	None	6.08333
2/20 6:5	2/20 6:10	None	None	None	None	6.08333
2/20 6:10	2/20 6:15	None	None	None	None	6.08333
2/20 6:15	2/20 6:20	None	None	None	None	6.08333
2/20 6:20	2/20 6:25	None	None	None	None	6.08333
2/20 6:25	2/20 6:30	None	None	None	None	6.08333
2/20 6:30	2/20 6:35	None	None	None	None	6.08333
2/20 6:35	2/20 6:40	None	None	None	None	6.08333
2/20 6:40	2/20 6:45	None	None	None	None	6.08333
2/20 6:45	2/20 6:50	None	None	None	None	6.08333
2/20 6:50	2/20 6:55	None	None	None	None	6.08333
2/20 6:55	2/20 7:0	None	None	None	None	6.08333
2/20 7:0	2/20 7:5	None	None	None	None	6.08333
2/20 7:5	2/20 7:10	None	None	None	None	6.08333
2/20 7:10	2/20 7:15	None	None	None	43.0	6.08333
2/20 7:15	2/20 7:20	None	None	None	None	6.08333
2/20 7:20	2/20 7:25	None	None	None	None	6.08333
2/20 7:25	2/20 7:30	None	None	None	None	6.08333
2/20 7:30	2/20 7:35	None	None	None	9.0	6.08333
2/20 7:35	2/20 7:40	None	None	None	53.0042016807	6.83130346667
2/20 7:40	2/20 7:45	None	None	None	370.472464986	22.0710727667
2/20 7:45	2/20 7:50	None	None	None	586.456666667	39.8111683333
2/20 7:50	2/20 7:55	None	None	None	468.841314554	29.7436603333
2/20 7:55	2/20 8:0	None	None	None	74.2253521127	11.2416951
2/20 8:0	2/20 8:5	None	None	None	None	6.08333
2/20 8:5	2/20 8:10	None	None	None	None	6.08333
2/20 8:10	2/20 8:15	None	None	None	None	6.08333
2/20 8:15	2/20 8:20	None	None	None	None	6.08333
2/20 8:20	2/20 8:25	68.0	None	68.0	None	6.08333
2/20 8:25	2/20 8:30	None	None	None	None	6.08333
2/20 8:30	2/20 8:35	57.0	None	57.0	None	8.78496727589
2/20 8:35	2/20 8:40	74.0	None	74.0	54.0	5.84270916892
2/20 8:40	2/20 8:45	None	None	None	None	6.0837535552
2/20 8:45	2/20 8:50	64.0	None	64.0	None	6.08333
2/20 8:50	2/20 8:55	None	None	None	1.7	6.08333
2/20 8:55	2/20 9:0	None	None	None	0.3	6.08333
2/20 9:0	2/20 9:5	61.0	None	61.0	None	6.08333
2/20 9:5	2/20 9:10	None	None	None	22.0	6.08333
2/20 9:10	2/20 9:15	None	None	None	None	6.08333
2/20 9:15	2/20 9:20	47.0	None	47.0	None	6.08333
2/20 9:20	2/20 9:25	None	None	None	None	6.08333
2/20 9:25	2/20 9:30	None	None	None	1.0	6.08333
2/20 9:30	2/20 9:35	95.0	None	95.0	None	6.08333
2/20 9:35	2/20 9:40	None	None	None	None	6.08333
2/20 9:40	2/20 9:45	None	None	None	None	6.08333
2/20 9:45	2/20 9:50	56.0	None	56.0	None	6.08333
2/20 9:50	2/20 9:55	None	None	None	None	6.08333
2/20 9:55	2/20 10:0	None	None	None	None	6.08333
2/20 10:0	2/20 10:5	51.0	None	51.0	None	6.08333
2/20 10:5	2/20 10:10	None	None	None	24.1576086957	9.6505389
2/20 10:10	2/20 10:15	None	None	None	238.742391304	12.1574083333
2/20 10:15	2/20 10:20	64.0	None	64.0	229.6546875	None
