hr,max_hr,min_hr,steps,calories,mvpa,
55,55,55,79.146667,6.0833302,0,FALSE
55,55,55,254.56,6.0833302,0,FALSE
55,55,55,231.16667,6.0833302,0,FALSE
55,55,55,262.16,6.0833302,0,FALSE
55,55,55,321.94666,6.0833302,0,FALSE
55,55,55,344.22,6.0833302,0,FALSE
55,55,55,187.44,6.0833302,0,FALSE
55,55,55,194.71333,6.0833302,0,FALSE
55,55,55,179.75333,6.0833302,0,FALSE
55,55,55,372.14001,6.0833302,0,FALSE
55,55,55,106.33334,6.0833302,0,FALSE
55,55,55,65.026665,6.0833302,0,FALSE
55,55,55,209.34666,6.0833302,0,FALSE
55,55,55,189.15334,6.0833302,0,FALSE
55,55,55,151.5,6.0833302,0,FALSE
55,55,55,196.32666,6.0833302,0,FALSE
55,55,55,121.60667,6.0833302,0,FALSE
55,55,55,57.116718,6.0833302,0,FALSE
55,55,55,19.343283,6.0833302,0,FALSE
55,55,55,76.228569,6.0833302,0,FALSE
55,55,55,3.7714286,6.0833302,0,FALSE
55,55,55,71.361443,6.5465155,0,FALSE
55,55,55,103.63856,7.8613644,0,FALSE
55,55,55,0,6.0833302,0,FALSE
55,55,55,0,6.0833302,0,FALSE
55,55,55,4.2739725,6.0833302,0,FALSE
55,55,55,13.726027,6.0833302,0,FALSE
55,55,55,0,6.1434679,0,FALSE
55,55,55,88.724327,6.6940727,0,FALSE
55,55,55,21.275675,7.5416193,0,FALSE
55,55,55,0,6.0833302,0,FALSE
55,55,55,118.28,9.4825773,0,FALSE
55,55,55,398.51999,20.543373,0,FALSE
55,55,55,307.54443,13.611371,0,FALSE
55,55,55,177.65555,14.184509,0,FALSE
55,55,55,0,6.0833302,0,FALSE
55,55,55,0,6.0833302,0,FALSE
55,55,55,0.50574714,6.5963202,0,FALSE
55,55,55,43.494251,8.0525503,0,FALSE
55,55,55,0.087866113,7.3122258,0,FALSE
55,55,55,36.912132,10.980865,0,FALSE
65,65,65,0,6.95508,0,FALSE
60,60,60,1,6.95508,0,FALSE
57,57,57,0,6.95508,0,FALSE
56,56,56,0,6.95508,0,FALSE
55,55,55,0,6.95508,0,FALSE
55,55,55,0,6.95508,0,FALSE
55,55,55,0,6.95508,0,FALSE
55,55,55,0,6.95508,0,FALSE
55,55,55,0,6.95508,0,FALSE
55,55,55,0,6.95508,0,FALSE
55,55,55,0,6.95508,0,FALSE
55,55,55,21,6.95508,0,FALSE
55,55,55,0,6.95508,0,FALSE
55,55,55,0,6.95508,0,FALSE
55,55,55,2,6.95508,0,FALSE
55,55,55,0.93333334,6.95508,0,FALSE
55,55,55,0.06666667,6.95508,0,FALSE
55,55,55,0,6.95508,0,FALSE
55,55,55,0,6.95508,0,FALSE
55,55,55,0,6.95508,0,FALSE
55,55,55,0,6.95508,0,FALSE
55,55,55,0,6.95508,0,FALSE
55,55,55,0,6.95508,0,FALSE
55,55,55,0,6.95508,0,FALSE
55,55,55,9.6842108,6.95508,0,FALSE
1765.48,1765.48,1765.48,13.315789,6.95508,0,FALSE
910.47998,910.47998,910.47998,25,6.95508,0,FALSE
482.48001,482.48001,482.48001,0,6.95508,0,FALSE
268.48001,268.48001,268.48001,0,6.95508,0,FALSE
161.48,161.48,161.48,0,6.95508,0,FALSE
70.606667,70,70,47.426666,6.95508,0,FALSE
73.5,74,73,109.29333,8.1097307,0,FALSE
82,82,82,299.44,23.222778,0,FALSE
234,234,234,803.17334,64.222801,0,FALSE
68,69,67,797.72668,64.105621,0,FALSE
126.247,229,95,737.95331,60.039982,0,FALSE
92.812202,145,67,528.97998,42.082241,0,FALSE
81,81,81,481.06668,26.4293,0,FALSE
65,65,65,487.34668,26.4293,0,FALSE
62,60,60,433.59332,23.443752,0,FALSE
62,72,52,0,10.77349,0,FALSE
72,73,72,0,6.1301498,0,FALSE
56,56,56,0,6.1301498,0,FALSE
55,55,55,0,6.8421807,0,FALSE
74,74,74,49,13.058587,0,FALSE
60,60,60,7.4516129,26.4293,0,FALSE
57,57,57,90.832664,26.4293,0,FALSE
87,112,62,387.18906,26.4293,0,FALSE
71,83,58,638.10669,26.4293,0,FALSE
113,113,113,611.99951,26.4293,0,FALSE
110,116,104,408.4205,26.4293,0,FALSE
62,62,62,169.50667,26.4293,0,FALSE
69.5,71,68,413.3974,23.497072,0,FALSE
69.5,63,61,67.09594,10.97817,0,FALSE
61,61,61,0,6.1301498,0,FALSE
