hr, hr_max, hr_min, steps, calories, guessed_mvpa
 None , None , None ,7,6.08333, False
 None , None , None , None ,6.08333, False
 None , None , None , None ,6.08333, False
54, None ,54, None ,6.08333, False
 None , None , None , None ,6.08333, False
 None , None , None , None ,6.08333, False
 None , None , None , None ,6.08333, False
 None , None , None , None ,6.08333, False
 None , None , None , None ,6.08333, False
66, None ,66, None ,6.08333, False
 None , None , None , None ,6.08333, False
 None , None , None , None ,6.08333, False
 None , None , None , None ,6.08333, False
 None , None , None , None ,6.08333, False
 None , None , None , None ,6.08333, False
91, None ,91, None ,6.08333, True
 None , None , None ,202.4573379,9.749393567, True
 None , None , None ,465.6226621,18.27429933, True
 None , None , None ,607.5702058,26.218844, True
 None , None , None ,197.7426514,17.45038887, True
 None , None , None ,19.60714286,5.931464233, False
 None , None , None ,3,6.08333, False
85, None ,85, None ,6.08333, False
 None , None , None , None ,6.08333, False
 None , None , None , None ,6.08333, False
 None , None , None , None ,6.08333, False
 None , None , None , None ,6.08333, False
 None , None , None , None ,6.08333, False
53, None ,53, None ,6.08333, False
 None , None , None , None ,6.08333, False
 None , None , None , None ,6.08333, False
66, None ,66, None ,6.08333, False
 None , None , None , None ,6.08333, False
79, None ,79, None ,6.08333, False
 None , None , None , None ,6.08333, False
 None , None , None , None ,6.08333, False
75, None ,75,169.5884477,12.28523723, True
 None , None , None ,458.138219,20.77655567, True
160, None ,160,515.9866667,23.1167, True
 None , None , None ,388.7133908,16.47716457, True
 None , None , None ,108.8247044,6.097979767, False
 None , None , None ,15.74857143, None , False
 None , None , None ,40.348659,4.147044433, False
 None , None , None ,21.98467433,5.9937511, False
 None , None , None ,68.66666667,5.078830867, False
 None , None , None ,4,3.353468, False
 None , None , None ,56,4.901258367, False
 None , None , None , None ,6.08333, False
 None , None , None , None ,7.559677133, False
 None , None , None ,36,7.540122867, False
 None , None , None , None ,6.08333, False
 None , None , None , None ,6.08333, False
 None , None , None , None ,6.08333, False
 None , None , None , None ,6.08333, False
 None , None , None , None ,6.08333, False
 None , None , None , None ,6.08333, False
 None , None , None , None ,6.08333, False
 None , None , None , None ,6.08333, False
 None , None , None , None ,6.08333, False
 None , None , None , None ,6.08333, False
 None , None , None , None ,6.08333, False
 None , None , None , None ,6.08333, False
 None , None , None , None ,6.08333, False
 None , None , None ,0.116666667,6.08333, False
 None , None , None ,0.883333333,6.08333, False
 None , None , None , None ,6.08333, False
 None , None , None ,2.13125,6.08333, False
 None , None , None ,109.86875,5.424097233, False
 None , None , None ,81.39737991,1.537372781, False
 None , None , None ,201.6026201,15.47570985, True
 None , None , None , None ,7.030950133, False
 None , None , None , None ,6.08333, False
 None , None , None , None ,6.08333, False
 None , None , None , None ,6.08333, False
 None , None , None , None ,6.08333, False
 None , None , None , None ,6.08333, False
 None , None , None , None ,6.08333, False
 None , None , None , None ,6.08333, False
 None , None , None , None ,6.08333, False
 None , None , None , None ,6.08333, False
 None , None , None ,33.23157895,8.588052567, False
 None , None , None ,206.8384211,12.02262767, True
 None , None , None ,84.93,9.507089567, False
 None , None , None ,140.3946488,7.712063266, False
 None , None , None ,179.3215674,10.10570113, True
 None , None , None ,184.2237838,11.35930996, True
 None , None , None ,148.06,3.913674154, False
 None , None , None , None ,6.07236169, False
 None , None , None , None ,6.08333, False
 None , None , None ,50.8988764,5.994557233, False
 None , None , None ,58.1011236,0.113151459, False
 None , None , None , None ,3.864779308, False
 None , None , None , None ,6.08333, False
 None , None , None , None ,6.08333, False
 None , None , None , None ,6.08333, False
 None , None , None , None ,6.08333, False
 None , None , None , None ,6.08333, False
 None , None , None , None ,6.08333, False
 None , None , None , None ,6.08333, False
 None , None , None , None ,6.08333, False
 None , None , None , None ,6.08333, False
 None , None , None , None ,6.08333, False
 None , None , None ,12.70918367,8.627463567, False
57, None ,57,121.245189,7.8493616, False
 None , None , None ,104.4692915,6.960347433, False
 None , None , None ,146.1563359,9.678258633, False
83.5, None ,66,106.5533333,8.061488767, False
 None , None , None ,21.88,6.08333, False
 None , None , None ,7.986666667,6.08333, False
91, None ,91,1.076923077,6.08333, True
 None , None , None ,43.73260073,6.082461194, False
109, None ,109,31.6641604,0.060816039, True
101, None ,101,53.99122807, None , True
79, None ,79,15.53508772, None , False
